Node Number	x	y	z	Deformation
56714	-0.166	141.323	3.84E-16	-2.99E-05
56715	-0.333	140.681	3.76E-16	-2.72E-05
56716	-0.166	140.681	3.84E-16	-1.89E-05
56717	-0.333	140.026	3.76E-16	-1.74E-05
56718	-0.166	140.026	3.84E-16	-9.08E-06
56719	-0.333	139.358	3.76E-16	-8.65E-06
56720	-0.166	139.358	3.84E-16	-3.23E-07
56721	-0.333	138.675	3.76E-16	-8.78E-07
56722	-0.166	138.675	3.84E-16	7.46E-06
56723	-0.333	137.979	3.76E-16	6.02E-06
56724	-0.166	137.979	3.84E-16	1.44E-05
56725	-0.333	137.268	3.76E-16	1.20E-05
56726	-0.166	137.268	3.84E-16	2.04E-05
56727	-0.333	136.543	3.76E-16	1.72E-05
56728	-0.166	136.543	3.84E-16	2.56E-05
56729	-0.333	135.803	3.76E-16	2.16E-05
56730	-0.166	135.803	3.84E-16	3.00E-05
56731	-0.333	135.047	3.76E-16	2.52E-05
56732	-0.166	135.047	3.84E-16	3.36E-05
56733	-0.333	134.277	3.76E-16	2.83E-05
56734	-0.166	134.277	3.84E-16	3.67E-05
56735	-0.333	133.49	3.76E-16	3.07E-05
56736	-0.166	133.49	3.84E-16	3.91E-05
56737	-0.333	132.687	3.76E-16	3.24E-05
56738	-0.166	132.687	3.84E-16	4.08E-05
56739	-0.333	131.867	3.76E-16	3.36E-05
56740	-0.166	131.867	3.84E-16	4.20E-05
56741	-0.333	131.031	3.76E-16	3.43E-05
56742	-0.166	131.031	3.84E-16	4.27E-05
56743	-0.333	130.177	3.76E-16	3.46E-05
56744	-0.166	130.177	3.84E-16	4.30E-05
56745	-0.333	129.306	3.76E-16	3.43E-05
56746	-0.166	129.306	3.84E-16	4.27E-05
56747	-0.333	128.417	3.76E-16	3.36E-05
56748	-0.166	128.417	3.84E-16	4.20E-05
56749	-0.333	127.51	3.76E-16	3.26E-05
56750	-0.166	127.51	3.84E-16	4.10E-05
56751	-0.333	126.584	3.76E-16	3.12E-05
56752	-0.166	126.584	3.84E-16	3.96E-05
56753	-0.333	125.639	3.76E-16	2.95E-05
56754	-0.166	125.639	3.84E-16	3.79E-05
56755	-0.333	124.675	3.76E-16	2.75E-05
56756	-0.166	124.675	3.84E-16	3.58E-05
56757	-0.333	123.691	3.76E-16	2.53E-05
56758	-0.166	123.691	3.84E-16	3.36E-05
56759	-0.333	122.686	3.76E-16	2.29E-05
56760	-0.166	122.686	3.84E-16	3.12E-05
56761	-0.333	121.661	3.76E-16	2.03E-05
56762	-0.166	121.661	3.84E-16	2.86E-05
56763	-0.333	120.615	3.76E-16	1.75E-05
56764	-0.166	120.615	3.84E-16	2.58E-05
56765	-0.333	119.547	3.76E-16	1.47E-05
56766	-0.166	119.547	3.84E-16	2.30E-05
56767	-0.333	118.458	3.76E-16	1.18E-05
56768	-0.166	118.458	3.84E-16	2.00E-05
56769	-0.333	117.346	3.76E-16	8.79E-06
56770	-0.166	117.346	3.84E-16	1.70E-05
56771	-0.333	116.211	3.76E-16	5.81E-06
56772	-0.166	116.211	3.84E-16	1.40E-05
56773	-0.333	115.053	3.76E-16	2.82E-06
56774	-0.166	115.053	3.84E-16	1.10E-05
56775	-0.333	113.871	3.76E-16	-2.08E-07
56776	-0.166	113.871	3.84E-16	7.97E-06
56777	-0.333	112.664	3.76E-16	-3.14E-06
56778	-0.166	112.664	3.84E-16	5.03E-06
56779	-0.333	111.433	3.76E-16	-6.01E-06
56780	-0.166	111.433	3.84E-16	2.15E-06
56781	-0.333	110.177	3.76E-16	-8.86E-06
56782	-0.166	110.177	3.84E-16	-7.09E-07
56783	-0.333	108.894	3.76E-16	-1.15E-05
56784	-0.166	108.894	3.84E-16	-3.40E-06
56785	-0.333	107.586	3.76E-16	-1.41E-05
56786	-0.166	107.586	3.84E-16	-5.98E-06
56787	-0.333	106.25	3.76E-16	-1.66E-05
56788	-0.166	106.25	3.84E-16	-8.45E-06
56789	-0.333	104.887	3.76E-16	-1.89E-05
56790	-0.166	104.887	3.84E-16	-1.08E-05
56791	-0.333	103.496	3.76E-16	-2.12E-05
56792	-0.166	103.496	3.84E-16	-1.31E-05
56793	-0.333	102.076	3.76E-16	-2.32E-05
56794	-0.166	102.076	3.84E-16	-1.51E-05
